status_id,created_at,text,favorite_count,retweet_count,score
1026860524510670854,2018-08-07T16:00:01Z,Count the number of rows in a data frame that have missing values with sum(!complete.cases(dF)) https://t.co/xPq9DFMrrr #rstats,111,25,161
1026498131368837126,2018-08-06T16:00:00Z,"Print numbers as currency in a 6-character wide field: sprintf(""$%6.2f"",mean(LifeCycleSavings$sr))",30,7,44
1025410977280319488,2018-08-03T16:00:02Z,"If two packages define functions with the same name, use :: to call the one you want: https://t.co/R5jqllgn1o #rstats",53,20,93
1025048586831228928,2018-08-02T16:00:02Z,"Watch the keynotes, talks and tutorials from the user!2018 (courtesy @RConsortium) https://t.co/Bzw3um72hX #rstats",51,19,89
1024686190857924608,2018-08-01T16:00:00Z,"Open data sets, curated by Microsoft Research for computer vision, NLP and scientific analysis, available for download from https://t.co/pEWR5Xdc8t #rstats",67,25,117
1024323811737513992,2018-07-31T16:00:02Z,"""Learning Statistics with R"", course notes for teaching R to Psychology students by @djnavarro https://t.co/4OBLyeajCw #rstats",143,56,255
1023961417429524482,2018-07-30T16:00:00Z,List of R packages for the analysis of medical images: https://t.co/vqSp0eIyNK #rstats,46,27,100
1022874259025276929,2018-07-27T16:00:02Z,deviance(fit) returns the deviance of a fitted model object https://t.co/7jP7YCeeN4 #rstats,19,11,41
1022511875492401152,2018-07-26T16:00:03Z,"Handling Strings with R, a free e-book: https://t.co/maopCvY23h #rstats",90,41,172
1022149477124075520,2018-07-25T16:00:00Z,How to use R to create custom visualizations in Power BI Service https://t.co/RZVjBM0qgL #rstats,34,9,52
1021787088210014208,2018-07-24T16:00:00Z,Use str(obj) to display the components of any object in human-readable format https://t.co/roxxjU88As #rstats,28,14,56
1021424707415883776,2018-07-23T16:00:02Z,"Use ""deriv"" to create a function that returns the derivative and hessian of an algebraic expression: https://t.co/2wWoqJZN7O #rstats",38,14,66
1020337537011863552,2018-07-20T16:00:00Z,"Use 'substitute' to include the variable's name in a plot title, e.g.: hist(var,main=substitute(paste(""Dist of "", var))) https://t.co/sqRolnCCzc #rstats",69,16,101
1019975159925665794,2018-07-19T16:00:03Z,alias(lm_object) will find linearly dependent terms in analysis of variance models https://t.co/1jvQte1pda #rstats,30,5,40
1019612764958932992,2018-07-18T16:00:01Z,"The Data Science Virtual Machine is an Azure instance preinstalled with Microsoft R, Rstudio, Rattle, Tensorflow and more: https://t.co/PaDJXjljia #rstats",35,19,73
1019250375738527744,2018-07-17T16:00:00Z,Use sample_n (in the dplyr package) to select random rows from a data frame or tbl https://t.co/tCLOgSs2mN #rstats,78,28,134
1018887993271115776,2018-07-16T16:00:02Z,Comparing floating-point numbers with == is unwise. Use all.equal to avoid errors from rounding: https://t.co/8TS7j3p17S #rstats,83,27,137
1017800832144805889,2018-07-13T16:00:02Z,"tapply(x, groups) applies a function to each non-empty group in a ""ragged"" array. Example: https://t.co/l8dMyKvuRK #rstats",33,8,49
1017438438528651264,2018-07-12T16:00:01Z,Over 750 people who blog about R https://t.co/CTGSo8qXQm #rstats,15,4,23
